plant,fragment,insect,date,site
Hirschfeldia incana,A-leon,Allograpta exotica,Ene.11,SC
Hirschfeldia incana,A-leon,Allograpta exotica,Ene.11,SC
Hirschfeldia incana,A-leon,Toxomerus sp.,Ene.11,SC
Hirschfeldia incana,A-leon,Cylindromyia sp.,Ene.11,SC
Hirschfeldia incana,A-leon,Villa sp1,Ene.11,SC
Hirschfeldia incana,A-leon,Trichopoda sp.1,Ene.11,SC
Hirschfeldia incana,A-leon,Oxysarcodexia varia,Ene.11,SC
Hirschfeldia incana,A-leon,Oxysarcodexia varia,Ene.11,SC
Hirschfeldia incana,A-leon,Tachinidae sp46,Ene.11,SC
Hirschfeldia incana,A-leon,Chauliognathus scriptus,Ene.11,SC
Hirschfeldia incana,A-leon,Astylus atromaculatus,Ene.11,SC
Hirschfeldia incana,A-leon,Pseudagapostemon pampeanus,Ene.11,SC
Hirschfeldia incana,A-leon,Pseudagapostemon pampeanus,Ene.11,SC
Hirschfeldia incana,A-leon,Dialictus sp.21,Ene.11,SC
Hirschfeldia incana,A-leon,Dialictus sp.21,Ene.11,SC
Hirschfeldia incana,A-leon,Dialictus sp.20,Ene.11,SC
Hirschfeldia incana,A-leon,Dialictus sp.20,Ene.11,SC
Hirschfeldia incana,A-leon,Melissodes tintinnas,Ene.11,SC
Hirschfeldia incana,A-leon,Melissodes tintinnas,Ene.11,SC
Hirschfeldia incana,A-leon,Anoplius sp13,Ene.11,SC
Carduus acanthoides,A-leon,Chauliognathus scriptus,Ene.11,SC
Carduus acanthoides,A-leon,Pseudagapostemon pampeanus,Ene.11,SC
Carduus acanthoides,A-leon,Pseudagapostemon pampeanus,Ene.11,SC
Carduus acanthoides,A-leon,Pseudagapostemon pampeanus,Ene.11,SC
Carduus acanthoides,A-leon,Dialictus sp.14,Ene.11,SC
Carduus acanthoides,A-leon,Apis mellifera,Ene.11,SC
Carduus acanthoides,A-leon,Toxomerus sp.,Ene.11,SC
Conium maculatum,A-leon,Tachinidae sp14,Ene.11,SC
Conium maculatum,A-leon,Oxysarcodexia varia,Ene.11,SC
Conium maculatum,A-leon,Tricharaea occidua,Ene.11,SC
Conium maculatum,A-leon,Allograpta exotica,Ene.11,SC
Conium maculatum,A-leon,Allograpta exotica,Ene.11,SC
Conium maculatum,A-leon,Chelonus sp.,Ene.11,SC
Conium maculatum,A-leon,Oxybelus sp8,Ene.11,SC
Conium maculatum,A-leon,Perilalampus sp.,Ene.11,SC
Hirschfeldia incana,A-leon,Toxomerus sp.,Ene.11,SC
Hirschfeldia incana,A-leon,Allograpta exotica,Ene.11,SC
Carduus acanthoides,A-leon,Chauliognathus scriptus,Ene.11,SC
Carduus acanthoides,A-leon,Chauliognathus scriptus,Ene.11,SC
Carduus acanthoides,A-leon,Chauliognathus scriptus,Ene.11,SC
Carduus acanthoides,A-leon,Chauliognathus scriptus,Ene.11,SC
Carduus acanthoides,A-leon,Dialictus sp.15,Ene.11,SC
Hirschfeldia incana,A-leon,Oxysarcodexia varia,Ene.11,SC
Hirschfeldia incana,A-leon,Dialictus sp.21,Ene.11,SC
