GENERAL INFORMATION,,,,,,,,ROOT TRAITS,,,,,,FLORAL TRAITS,,,,
Responsible,Country,plant species,Family,"habit (tree/shrub/herb/climber/parasite, etc)",native in study region (yes/no),photosynthetic pathway (C3/C4),life cycle (annual/perennial),typical soil nutrient level,ability to establish mycorrhizal associations (yes/no/rarely) ,mycorrhyza type,mycorrhyza frequency,N fixation ability ,proteoid root _cluster root (yes/no),flower diameter (mm),average number of flowers per cm2 (within flower units/inflorescences),average floral height in study site (cm ),corolla/nectar tube depth (mm),flower colour (as seen by humans)
Marrero,Argentina,Physalis viscosa,Solanaceae,herb,yes,,perennial,,,,,,,,,,,yellow
Marrero,Argentina,Picrosia longifolia,Asteraceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Plantago sp,Plantaginaceae,herb,yes,,perennial,,,,,,,,,,,green
Marrero,Argentina,Polygala linoides,Polygalaceae,herb,yes,,annual,,,,,,,,,,,white
Marrero,Argentina,Portulaca oleracea,Portulacaceae,herb,no,,annual,,,,,,,,,,,yellow
Marrero,Argentina,Prosopidastrum globosum,Fabaceae,shrub,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Prosopis caldenia,Fabaceae,tree,yes,,perennial,,,,,,,,,,,yellow
Marrero,Argentina,Rapistrum rugosum,Brassicaceae,herb,no,,annual,,,,,,,,,,,yellow
Marrero,Argentina,Rhynchosia senna,Fabaceae,herb,yes,,perennial,,,,,,,,,,,yellow
Marrero,Argentina,Rorippa bonariensis,Brassicaceae,herb,yes,,annual,,,,,,,,,,,yellow
Marrero,Argentina,Rubiaceae,Rubiaceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Salsola Kali,Chenopodiaceae,herb,no,,annual,,,,,,,,,,,green
Marrero,Argentina,Schkuhria pinnata,Asteraceae,herb,yes,,annual,,,,,,,,,,,yellow
Marrero,Argentina,Scutellaria racemosa,Lamiaceae,herb,yes,,perennial,,,,,,,,,,,violet
Marrero,Argentina,Senecio pulcher,Asteraceae,herb,yes,,perennial,,,,,,,,,,,violet
Marrero,Argentina,Sisyrinchium megapotamicum,Iridaceae,herb,yes,,perennial,,,,,,,,,,,yellow
Marrero,Argentina,Sisyrinchium platense,Iridaceae,herb,yes,,perennial,,,,,,,,,,,violet
Marrero,Argentina,Solanum elaeagnifolium,Solanaceae,herb,yes,,perennial,,,,,,,,,,,violet
Marrero,Argentina,Solanum juvenale,Solanaceae,herb,yes,,perennial,,,,,,,,,,,violet
Marrero,Argentina,Solanum nitidibaccatum,Solanaceae,herb,yes,,annual,,,,,,,,,,,white
Marrero,Argentina,Solanum pilcomayense,Solanaceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Solanum sisymbriifolium,Solanaceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Solidago chilensis,Asteraceae,herb,yes,,perennial,,,,,,,,,,,yellow
Marrero,Argentina,Sonchus sp,Asteraceae,herb,no,,annual,,,,,,,,,,,yellow
Marrero,Argentina,Sphaeralcea crispa,Malvaceae,herb,yes,,perennial,,,,,,,,,,,orange
Marrero,Argentina,Stemodia lanceolata,Plantaginaceae,herb,yes,,perennial,,,,,,,,,,,light blue
Marrero,Argentina,Taraxacum oficinale,Asteraceae,herb,no,,perennial,,,,,,,,,,,yellow
Marrero,Argentina,Thelesperma megapotamicum,Asteraceae,herb,yes,,perennial,,,,,,,,,,,orange-yellow
Marrero,Argentina,Trifolium pratense,Fabaceae,herb,no,,perennial,,,,,,,,,,,pink
Marrero,Argentina,Trifolium repens,Fabaceae,herb,no,,perennial,,,,,,,,,,,white
Marrero,Argentina,Turnera sidioides,Turneraceae,herb,yes,,perennial,,,,,,,,,,,red lead
Marrero,Argentina,Verbascum thapsus,Scrophulariaceae,herb,no,,biannual,,,,,,,,,,,yellow
Marrero,Argentina,Verbena bonariensis,Verbenaceae,herb,yes,,annual,,,,,,,,,,,violet
Marrero,Argentina,Verbena gracilescens,Verbenaceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Verbena intermedia,Verbenaceae,herb,yes,,perennial,,,,,,,,,,,violet
Marrero,Argentina,Vicia linearifolia,Fabaceae,climber,yes,,annual,,,,,,,,,,,light blue
Marrero,Argentina,Vicia sativa,Fabaceae,herb,no,,annual,,,,,,,,,,,violet
Marrero,Argentina,Viguiera anchusaefolia,Asteraceae,herb,yes,,perennial,,,,,,,,,,,yellow
Marrero,Argentina,Viola arvensis,Violaceae,herb,no,,annual,,,,,,,,,,,white
